l3	l5	l1	l2	l7	l6
SMED30006217	-0.109087319569742	-1.51218106183989	0.927243467026339	1.27298926054706	-0.125887504393869	-0.453076841769893
SMED30007889	-0.800835302391922	-1.24460259235398	0.991072431949265	1.32911520953625	-0.244872985658924	-0.0298767610806883
SMED30008873	-1.02978717360881	-1.43012570335667	1.03480449643524	0.360687868383372	0.784070586503143	0.28034992564373
SMED30008921	0.282078528309011	-1.51426719808639	0.324060760396125	1.45099238529162	0.0957743513519103	-0.638638827262286
SMED30009302	1.10514887371155	0.607109127371944	-0.657983846951304	0.821292665994805	-1.4591875910735	-0.416379229053488
SMED30009430	-0.893656660553982	-1.18670754061717	1.47210299095835	0.737786600535112	0.126676967400079	-0.256202357722391
SMED30010405	-1.17924461835941	-1.07636727038147	1.17226465514399	-0.206083946739139	0.963168279045892	0.326262901290137
SMED30010682	-0.383344300428923	-0.589732821323874	-0.852449478821004	-0.396951747301515	1.86996064449415	0.352517703381164
SMED30011682	-0.719913528879224	-1.05529627296008	1.05456347117211	-0.377163240613475	1.41813580643253	-0.320326235151855
SMED30012661	-0.414517974795099	-0.998676409439598	1.79981918436579	0.445905900638724	-0.264467087379513	-0.568063613390301
SMED30013408	-1.42076953701188	-0.822439194685818	0.311879253356009	-0.148813384094014	0.93496092338657	1.14518193904912
SMED30014482	-1.00487330981596	-1.26645236420992	1.33958415207427	0.717616939388237	0.271293225931919	-0.0571686433685419
SMED30016004	-0.586175999367803	-0.758886099070099	1.90105656511229	0.2719778881459	-0.256295910061217	-0.571676444759074
SMED30016006	0.980662770092157	1.2374117284145	-1.04190008232102	0.317187536714229	-1.06752678798998	-0.425835164909893
SMED30016871	-1.19195862879571	-1.28575065549321	0.78263650154646	0.0782338089462956	0.795090512256835	0.82174846153933
SMED30017150	-0.121552602478638	0.402417138621132	1.75764909850334	-0.32896863670661	-1.14153254149554	-0.568012456443686
SMED30017556	-0.86703628056314	-1.13802340709918	1.54737061373316	-0.165062253080146	0.722252677828192	-0.0995013508188959
SMED30017785	-1.18407957051022	-1.27919464671213	0.626238934840071	0.115706032072614	1.05375313228295	0.667576118026717
SMED30018618	-1.00455250692122	-1.13002939727615	0.938896002073982	-0.38341254338931	1.25784453059155	0.321253914921142
SMED30020051	-0.288148426991123	-1.32478854102903	1.41233259646907	0.895481521587756	-0.0985328095116124	-0.596344340525057
SMED30020396	0.235933641833782	-1.52901641422013	0.719861070337174	1.33014160620751	-0.505942495765833	-0.250977408392498
SMED30020678	-0.686477595204376	-1.16764983564079	1.33906134876959	1.09026003472156	-0.19229196084498	-0.382901991801003
SMED30022790	-0.675837802062574	-1.15478283708198	1.08359441972111	1.32467735161966	-0.527501598488816	-0.0501495337074056
SMED30024232	-1.40744121076343	-0.75792356225279	1.20539667410942	-0.0981025897188043	0.988545442623424	0.0695252460021612
SMED30025277	-1.17120346082739	-1.31508805373488	0.930534201024559	0.150976118178922	0.594147645677536	0.810633549681249
SMED30025317	-1.04698796789424	-1.43916617376394	0.959521092525199	0.384029671480663	0.807613098293436	0.334990279358878
SMED30025603	-1.26065760335493	-1.12113224796691	0.484685445938746	-0.0600538705708094	0.973879019400705	0.983279256553197
SMED30025726	-0.757410311745991	-0.881104286211513	0.851040200741231	-0.855132272695479	1.47145173854472	0.171154931367028
SMED30026425	-0.787193165329011	-1.38911809706699	1.29263195204642	0.0624466718595682	0.878948124337279	-0.0577154858472721
SMED30026746	-1.36013932697814	-0.752324256201163	0.769453484803735	-0.361255173600449	1.30446282532837	0.399802446647653
SMED30027268	-0.760852455380604	-1.22570834635926	1.28563604543461	1.0872727297281	-0.125764112095539	-0.260583861327312
SMED30029159	-1.35779934050381	-0.999578069357415	0.41874984215359	-0.026824902224611	0.825163671641737	1.14028879829051
SMED30031132	-0.999698760928888	-1.22278147999919	0.23682444791075	-0.164607100326476	1.31009023850196	0.840172654841839
SMED30031317	-0.995341042903696	-0.770545684200281	0.237365611529088	-0.643701364822868	1.62721493824927	0.545007542148485
SMED30031405	-0.170688453391854	-0.479231552788749	1.23392568913681	-1.46257263854729	1.02816856574698	-0.149601610155892
SMED30031553	-0.386625457095446	-1.16383661751095	1.55884872121429	0.798908627152979	-0.177951021955446	-0.629344251805435
SMED30031990	0.558695159087119	-0.658061623640435	0.398423743937712	1.46170308445155	-1.33279520291527	-0.427965160920674
SMED30032199	-0.391519113651209	0.0417237956303724	0.227062635108494	-1.44950063803629	1.63946405774092	-0.0672307367922951
SMED30033583	0.807692642943844	1.41650579869154	-1.38832206746639	-0.412813524376094	-0.488839611259763	0.0657767614668643
SMED30033646	-0.446235605891586	-1.18305244058961	1.32546729439439	1.11258056998824	-0.204986563902517	-0.603773253998922
