seurat_clusters	timepoint	cell_number	total_number	ratio	color	arr_x	arr_y	y	x
c11	0hpa1	15611	311367	0.05013697662244233	#00acc6	11	7	7	26
c11	10dpa1	3598	120473	0.029865613041926406	#00acc6	11	1	1	26
c11	12hpa2	8134	226908	0.03584712747016412	#00acc6	11	6	6	26
c11	14dpa1	640	85403	0.007493881947940939	#00acc6	11	0	0	26
c11	36hpa2	11843	270849	0.043725470649697805	#00acc6	11	5	5	26
c11	3dpa2	5770	207475	0.027810579587902156	#00acc6	11	4	4	26
c11	5dpa1	5230	163838	0.031921776388871934	#00acc6	11	3	3	26
c11	7dpa2	1612	125804	0.01281358303392579	#00acc6	11	2	2	26
c11	WT	20964	865719	0.02421570971643224	#00acc6	11	8	8	26
c12	0hpa1	13520	311367	0.043421428732010776	#bcb6ff	12	7	7	35
c12	10dpa1	574	120473	0.0047645530533812555	#bcb6ff	12	1	1	35
c12	12hpa2	9683	226908	0.04267368272603875	#bcb6ff	12	6	6	35
c12	14dpa1	179	85403	0.0020959451073147314	#bcb6ff	12	0	0	35
c12	36hpa2	10856	270849	0.04008137375437975	#bcb6ff	12	5	5	35
c12	3dpa2	9255	207475	0.04460778407036992	#bcb6ff	12	4	4	35
c12	5dpa1	7061	163838	0.04309744992004297	#bcb6ff	12	3	3	35
c12	7dpa2	3584	125804	0.02848876029379034	#bcb6ff	12	2	2	35
c12	WT	31637	865719	0.03654419043592667	#bcb6ff	12	8	8	35
c13	0hpa1	10073	311367	0.03235089139183022	#bf03b8	13	7	7	32
c13	10dpa1	2063	120473	0.01712416890091556	#bf03b8	13	1	1	32
c13	12hpa2	7113	226908	0.03134750647839653	#bf03b8	13	6	6	32
c13	14dpa1	500	85403	0.005854595271828859	#bf03b8	13	0	0	32
c13	36hpa2	5932	270849	0.021901502313096965	#bf03b8	13	5	5	32
c13	3dpa2	6467	207475	0.03117002048439571	#bf03b8	13	4	4	32
c13	5dpa1	3597	163838	0.021954613703780563	#bf03b8	13	3	3	32
c13	7dpa2	1963	125804	0.015603637404216083	#bf03b8	13	2	2	32
c13	WT	35337	865719	0.04081809455493064	#bf03b8	13	8	8	32
c14	0hpa1	5931	311367	0.019048261376446444	#645472	14	7	7	8
c14	10dpa1	4406	120473	0.0365725100229927	#645472	14	1	1	8
c14	12hpa2	5761	226908	0.02538914449909214	#645472	14	6	6	8
c14	14dpa1	2009	85403	0.023523763802208355	#645472	14	0	0	8
c14	36hpa2	10346	270849	0.038198405753759476	#645472	14	5	5	8
c14	3dpa2	8556	207475	0.04123870345824798	#645472	14	4	4	8
c14	5dpa1	8270	163838	0.050476690389286975	#645472	14	3	3	8
c14	7dpa2	5861	125804	0.04658834377285301	#645472	14	2	2	8
c14	WT	15712	865719	0.018149076085889303	#645472	14	8	8	8
c15	0hpa1	5375	311367	0.01726258723628387	#790000	15	7	7	9
c15	10dpa1	1206	120473	0.010010541781145983	#790000	15	1	1	9
c15	12hpa2	7993	226908	0.03522573025190826	#790000	15	6	6	9
c15	14dpa1	1792	85403	0.02098286945423463	#790000	15	0	0	9
c15	36hpa2	12925	270849	0.04772031648630787	#790000	15	5	5	9
c15	3dpa2	9218	207475	0.04442944933124473	#790000	15	4	4	9
c15	5dpa1	6408	163838	0.039111805564032764	#790000	15	3	3	9
c15	7dpa2	3639	125804	0.028925948300530985	#790000	15	2	2	9
c15	WT	14872	865719	0.017178784339953266	#790000	15	8	8	9
c16	0hpa1	7644	311367	0.024549807783098402	#0774d8	16	7	7	12
c16	10dpa1	2780	120473	0.02307570991010434	#0774d8	16	1	1	12
c16	12hpa2	8981	226908	0.03957991785216916	#0774d8	16	6	6	12
c16	14dpa1	2757	85403	0.03228223832886432	#0774d8	16	0	0	12
c16	36hpa2	10684	270849	0.039446333565935264	#0774d8	16	5	5	12
c16	3dpa2	11152	207475	0.053751054343896855	#0774d8	16	4	4	12
c16	5dpa1	2419	163838	0.014764584528619734	#0774d8	16	3	3	12
