	WT	0hpa	12hpa	36hpa	3dpa	5dpa	7dpa	10dpa	14dpa
dd_4427	1.2956834788946192	-0.169717191	-0.18815695	0.7044797316629204	3.264070146	2.8291255163752167	5.038457876175157	2.984078161114244	1.5910203603165545
wnt11-2	2.412201507686095	-0.51753222	-0.163716157	-0.226303386	3.4698095993989257	1.7030869764810386	6.626288234716781	3.0005541505941524	2.4386633660685395
hox4b	2.137745137344825	0.6871806836161065	0.314948823	0.6884003161864292	3.8758546008803183	2.1447746559774123	3.786400096	3.7753901397922034	2.418903707510638
dd_13065	1.9934518811995807	-0.668398168	-0.347747673	-0.122973724	3.8916813732968345	2.7350382416495287	5.385924127487231	2.710509482888092	2.272339964360361
fz4-1	1.9481586625857892	-0.278412716	-0.06134395	0.012200507	4.055258822	2.629113712	5.491960865894755	3.715945182695036	1.832852022788234
lox5a	1.8679291979777424	-0.474827415	-0.366751776	0.1794824567801788	4.027726428937751	2.2490154916209444	5.435766125366969	3.235318554154033	1.287849694266708
Post-2c	1.9984711642208288	-0.510336165	-0.451563481	0.8008611013770802	4.429735468879507	2.297393284977788	4.620845316025576	3.7117197017569055	1.9329627614056772
foxD	-0.592771755	-0.035611609	-1.37762092	-0.829333008	2.5037542709823706	1.4720981181806143	-1.37762092	-0.748329473	-1.37762092
teashirt	1.0157353612939042	-0.78690115	-0.095371244	0.1496896117402762	4.467984982807048	1.9310603918371263	0.8707623531463502	1.9203636344830488	-0.117597416
ptk7	0.6251636491332663	-1.494727342	-1.054444177	0.2972685263347525	1.513203180266595	0.4939290089838277	-2.057968853	2.0783929297545614	-1.626192499
tolloid	-0.641606391	0.1190537684480511	0.4717784257845483	-0.704036752	-0.797275157	-0.795620582	-0.606081836	-0.230759662	-0.514785876
bmp4	-0.568969718	-1.140202192	-0.602302403	0.168156843	1.0858255446153764	0.3802026530047388	-1.140202192	1.376630527359058	0.082427073
ft-2	-0.137227039	-0.072364399	-0.201139694	-0.406701456	0.8412366673836406	0.5730908766267653	0.5798590932929523	1.0310949489802332	-0.975191087
ft-1	0.2637890561094908	-0.072962152	-0.126430287	-0.781151545	1.4003527347187317	0.8220730566241952	1.3212260413320185	1.1353386720415684	-1.047087472
ds	-0.044810405	0.6468008052009927	0.003981393	-0.251724467	2.2649229571364247	0.680032441	4.093923269	0.1405327173023576	-0.862626428
smad4	0.3648586626367373	1.4523373534334028	-0.426534136	-0.522351952	1.561906584555672	0.089807085	1.5064588296683563	0.7809378707336622	-0.541012925
slit	-0.603850857	-0.678624821	0.006274276	-0.079397338	3.6533396557279394	1.2790881637476323	-0.521154335	-0.322263966	-1.236167969
nlg-7	0.2892125659372015	1.281046475308055	-1.406580346	-0.945098759	1.1845661671060577	-0.026305958	0.4399587920199276	0.072591465	-0.251676332
