timepoint	epi	muscle	neuron
16_69_0_7	14dpa1	0.914319652430915	0.0967695231547727	0.352294455624809
16_69_1_7	14dpa1	1.3438514822378	0.186872427128165	-0.13809461121379
16_70_0_7	14dpa1	1.11414308646082	0.412645192497539	-0.150641749644263
16_70_1_7	14dpa1	1.03872225985252	0.0417955601988262	-0.105789519219293
16_71_7	14dpa1	1.02277520640852	0.260354227844874	-0.00707567069540874
16_72_0_7	14dpa1	1.11334043278742	0.661096428152222	0.0701571075201526
16_72_1_7	14dpa1	0.909056338285996	0.170918656025778	-0.133900301669401
16_72_2_7	14dpa1	1.1616033408542	0.317991950917385	0.0932994945021957
16_77_0_7	14dpa1	1.09050494906601	-0.0837371047103788	0.283689485968749
16_84_7	14dpa1	1.30481551428188	-0.0374966457955292	0.467680303359758
16_85_0_7	14dpa1	2.02788098199825	0.638677633501975	-0.188131535538742
16_86_0_7	14dpa1	1.36644192570075	0.14446744923244	0.388081402331433
16_86_1_7	14dpa1	0.867148392003958	0.723349339973471	0.0275878078466656
16_88_0_7	14dpa1	1.28759338069188	0.407070639704719	0.591088484898062
16_88_1_7	14dpa1	1.49279345279564	-0.29881907096528	0.570756312723116
16_88_2_7	14dpa1	0.974662834829244	0.397580479960911	-0.0129020615618557
16_88_3_7	14dpa1	1.0319217316536	0.606905823753079	-0.146792232785715
16_89_7	14dpa1	0.799367277174156	-0.727830446451014	-0.00187124979396527
16_90_0_7	14dpa1	0.392745064039014	-0.00767512000231796	-0.184988674375861
16_90_1_7	14dpa1	0.658926830713186	0.329964571314409	0.0454823236101175
16_90_2_7	14dpa1	1.00412059582307	-0.191990451510471	-0.159535370642672
16_90_3_7	14dpa1	1.11262293507544	0.861138096944402	0.221273291594716
16_93_7	14dpa1	0.809884023302545	0.771299454632213	-0.187677415054759
16_94_0_7	14dpa1	1.10654209935158	0.474999012607585	-0.187617950986721
16_94_1_7	14dpa1	1.33433162583643	0.543982449545331	0.168663623994259
16_96_0_7	14dpa1	1.05723514487004	0.73609018397198	-0.0566326621722492
16_96_1_7	14dpa1	0.681304786511296	0.0520736777082946	-0.154200074866983
18_16_7	14dpa1	1.29246312026515	0.0393958200561283	-0.0834177720630317
19_67_7	14dpa1	0.579447344390091	0.642345470019203	-0.178432029606939
2_25_7	14dpa1	0.794831509972574	0.720462309783079	-0.161699096248758
