time_simu	ARNT_act	ndk_act	ARNT_pred	ndk_pred	time_realp	ARNT_realp	ndk_realp	EGR1_act	hox4b_act	EGR1_pred	hox4b_pred	EGR1_realp	hox4b_realp	NFYA_act	glra1_act	NFYA_pred	glra1_pred	NFYA_realp	glra1_realp
1.82366	6.08025	5.27793	7.1815	5.49423				6.2165	4.99929	5.68538	4.19728			7.59343	8.61786	8.56258	10.576		
1.85171	6.13818	5.32972	7.19153	5.55032				6.24391	5.06532	5.70557	4.2169			7.62542	8.68292	8.584	10.6809		
1.87977	6.19635	5.38138	7.20131	5.60621				6.27132	5.13227	5.72578	4.23673			7.65812	8.74812	8.60506	10.7859		
1.90782	6.25472	5.43291	7.21084	5.66189				6.29874	5.20006	5.746	4.25677			7.69149	8.81347	8.62577	10.8909		
1.93588	6.3132	5.48431	7.22013	5.71736				6.32613	5.26861	5.76623	4.27701			7.72547	8.87895	8.64612	10.9959		
1.96394	6.37175	5.53557	7.22918	5.77262				6.35351	5.33783	5.78647	4.29747			7.76	8.94459	8.66612	11.101		
1.99199	6.43029	5.58668	7.23799	5.82766				6.38085	5.40765	5.80671	4.31813			7.79505	9.01036	8.68578	11.2061		
2.02005	6.48877	5.63764	7.24658	5.88248				6.40815	5.47798	5.82696	4.33901			7.83055	9.07628	8.70508	11.3112		
2.04811	6.54712	5.68846	7.25494	5.93706				6.43539	5.54874	5.8472	4.36009			7.86646	9.14234	8.72405	11.4163		
2.07616	6.60528	5.73911	7.26308	5.99142				6.46258	5.61985	5.86745	4.38138			7.90272	9.20855	8.74267	11.5214		
2.10422	6.66319	5.78961	7.27099	6.04553				6.48968	5.69123	5.88769	4.40287			7.93928	9.2749	8.76095	11.6264		
2.13227	6.72079	5.83993	7.27869	6.09941				6.51671	5.7628	5.90793	4.42458			7.9761	9.3414	8.7789	11.7314		
2.16033	6.778	5.89009	7.28618	6.15304				6.54364	5.83447	5.92816	4.44649			8.01311	9.40804	8.79652	11.8363		
2.18839	6.83478	5.94008	7.29346	6.20642				6.57047	5.90616	5.94838	4.46861			8.05027	9.47482	8.8138	11.9411		
2.21644	6.89105	5.98988	7.30054	6.25954				6.59718	5.97779	5.96859	4.49094			8.08753	9.54175	8.83076	12.0458		
2.2445	6.94676	6.03951	7.30741	6.31242				6.62377	6.04929	5.98879	4.51347			8.12484	9.60882	8.84739	12.1504		
2.27256	7.00184	6.08894	7.31409	6.36503				6.65023	6.12056	6.00896	4.53621			8.16214	9.67604	8.8637	12.2548		
2.30061	7.05622	6.13819	7.32057	6.41737				6.67654	6.19153	6.02912	4.55915			8.19939	9.74341	8.87969	12.3592		
2.32867	7.10986	6.18723	7.32685	6.46946				6.7027	6.26212	6.04925	4.5823			8.23652	9.81091	8.89537	12.4633		
2.35672	7.16268	6.23608	7.33295	6.52127				6.72869	6.33224	6.06936	4.60565			8.2735	9.87857	8.91073	12.5674		
2.38478	7.21461	6.28472	7.33887	6.5728				6.75451	6.40181	6.08945	4.62921			8.31026	9.94637	8.92578	12.6712		
2.41284	7.26561	6.33315	7.3446	6.62407				6.78015	6.47075	6.10951	4.65297			8.34677	10.0143	8.94052	12.7749		
2.44089	7.3156	6.38137	7.35014	6.67505				6.80559	6.53898	6.12953	4.67693			8.38296	10.0824	8.95496	12.8783		
2.46895	7.36453	6.42937	7.35552	6.72575				6.83083	6.60641	6.14952	4.7011			8.41878	10.1506	8.9691	12.9816		
2.49701	7.41232	6.47715	7.36071	6.77617				6.85585	6.67297	6.16948	4.72546			8.45419	10.219	8.98293	13.0846		
2.52506	7.45893	6.5247	7.36574	6.8263				6.88065	6.73858	6.1894	4.75003			8.48913	10.2875	8.99647	13.1874		
2.55312	7.50428	6.57202	7.3706	6.87614				6.90522	6.80315	6.20927	4.7748			8.52355	10.3562	9.00972	13.29		
2.58117	7.54831	6.61911	7.37529	6.92569				6.92954	6.86659	6.22911	4.79976			8.5574	10.425	9.02267	13.3923		
2.60923	7.59096	6.66595	7.37982	6.97495				6.9536	6.92884	6.2489	4.82492			8.59063	10.494	9.03533	13.4943		
2.63729	7.63216	6.71256	7.38418	7.02391				6.9774	6.9898	6.26864	4.85028			8.62319	10.5631	9.04771	13.5961		
2.66534	7.67187	6.75891	7.38839	7.07257				7.00093	7.0494	6.28834	4.87583			8.65502	10.6324	9.05981	13.6976		
2.6934	7.71	6.80501	7.39244	7.12093				7.02417	7.10756	6.30798	4.90158			8.68608	10.7018	9.07163	13.7987		
2.72146	7.7465	6.85085	7.39634	7.16899				7.04712	7.16419	6.32757	4.92752			8.71631	10.7713	9.08317	13.8996		
2.74951	7.78131	6.89643	7.40008	7.21674				7.06976	7.2192	6.3471	4.95365			8.74566	10.841	9.09443	14.0001		
2.77757	7.81437	6.94175	7.40368	7.26419				7.09208	7.27253	6.36658	4.97997			8.77408	10.9108	9.10542	14.1004		
2.80562	7.8456	6.98679	7.40713	7.31133				7.11408	7.32408	6.38599	5.00648			8.80152	10.9808	9.11615	14.2002		
2.83368	7.87496	7.03156	7.41044	7.35816				7.13575	7.37378	6.40534	5.03318			8.82793	11.051	9.12661	14.2998		
2.86174	7.90236	7.07605	7.4136	7.40468				7.15707	7.42155	6.42463	5.06007			8.85325	11.1212	9.1368	14.3989		
2.88979	7.92777	7.12026	7.41663	7.45089				7.17804	7.4673	6.44385	5.08714			8.87744	11.1917	9.14673	14.4978		
2.91785	7.9511	7.16418	7.41951	7.49679				7.19864	7.51095	6.463	5.1144			8.90045	11.2623	9.15641	14.5962		
2.94591	7.9723	7.2078	7.42226	7.54236				7.21886	7.55241	6.48208	5.14184			8.92221	11.333	9.16583	14.6942		
2.97396	7.99131	7.25113	7.42488	7.58763				7.2387	7.59162	6.50109	5.16946			8.94268	11.4038	9.17499	14.7919		
3.00202	8.00806	7.29416	7.42737	7.63257				7.25815	7.62848	6.52002	5.19726			8.96182	11.4749	9.18391	14.8891		
3.03008	8.02251	7.33689	7.42972	7.6772				7.27719	7.66295	6.53887	5.22524			8.97956	11.546	9.19258	14.986		
3.05813	8.0347	7.3793	7.43195	7.7215				7.29582	7.69505	6.55764	5.25339			8.99588	11.6173	9.201	15.0824		
3.08619	8.04468	7.42142	7.43405	7.76549				7.31406	7.72484	6.57633	5.28172			9.01077	11.6888	9.20919	15.1784		
