	AP	frizzled5/8-4	ndk	zic-2	prep	sfrp-1	fz5_8-3	ndl-4	ndl-1	ptk7	ndl-3	wntA	teashirt	wntP-2 / wnt11-5	wntless	sfrp-2	wnt2	ndl-2	ndl-5	wnt11-2	dd4427	dd13065	sp5	fz4-1	Post-2c	hox4b
69	68	5.738574481	9.77972461	2.922408265	8.990039014	1.36965091	10.25789532	2.898876612	10.62918263	1.198349256	5.105921679	14.65221635	2.818509144	4.200722841	12.07920447	10.91758997	2.331814671	15.62518577	9.491092308	1.210942368	3.924985615	0.944975144	1.837702272	0.813676777	0.487755269	0.751291041
70	69	4.750054149	10.91606965	4.26875849	9.91611047	1.510250947	11.02747577	2.551284877	12.28756431	1.261015052	5.69377646	17.50916914	2.480553924	4.346056198	11.58449308	9.261645909	2.052216877	12.42234715	8.536292312	1.243346003	3.972321987	0.905320375	1.900778086	0.779603791	0.476199496	0.781210597
71	70	4.75664497	12.60500229	4.943841089	9.825875166	1.47780905	9.652512566	2.275878279	17.22322137	1.157239278	5.767508456	17.63553888	2.906139815	4.718073618	9.780750892	8.241464856	1.830683768	11.41109809	8.862548802	1.214959718	3.843218864	0.901852816	2.003542962	0.814399469	0.465808862	0.779321458
72	71	3.846738366	12.40466248	5.43836746	12.91320013	1.35055489	7.637921981	2.336363055	14.06915745	1.249487193	6.556504808	16.70611147	3.049473146	4.36168597	10.61275888	6.95342218	1.83939745	9.680494666	8.120224638	1.292803461	3.998060701	0.934737449	1.802347389	0.777676269	0.45522964	0.780996956
73	72	4.653622486	12.0654999	5.634006987	16.18082039	1.252745867	8.455156959	2.47748475	12.64249104	1.275093864	5.002107887	16.92291174	3.259382408	4.57078572	8.990241631	8.589662759	2.060065577	8.266454782	8.821711056	1.389131722	3.971879943	0.969840961	1.75605364	0.74499031	0.445433353	0.950883602
74	73	4.588282409	16.15879293	5.902976518	14.54503382	1.303882228	7.213766962	2.599214919	12.94248786	1.277722683	5.050185777	15.66853186	3.152644797	4.835439864	7.689745523	12.25318513	1.829897424	5.144591311	8.450377494	1.432866209	4.397053163	0.967197542	1.789642322	0.761835871	0.436455751	0.785648598
75	74	5.341473977	13.60063062	6.463333854	13.9633353	1.112524704	6.07214847	2.377659926	13.00146042	1.380285131	5.295389482	16.17950915	3.355815478	5.459999198	8.254979292	14.89684121	1.855412235	5.06992532	6.863881371	1.353280602	4.487739244	0.928059944	1.851477278	0.733279916	0.427985052	0.819327564
76	75	5.299756906	11.24110625	5.681000831	14.16142973	1.046627905	6.212765654	2.102401576	10.60701735	1.494033202	5.701021442	16.72524013	3.101951354	5.35896997	7.000063841	14.52466387	1.620327096	5.565584045	6.465475806	1.277308989	4.756354111	0.895258723	2.039456084	0.756174298	0.419827125	0.857768464
77	76	6.147758633	10.09351727	4.718919195	17.03571955	0.984201927	6.028102511	2.190218808	9.193746872	1.622146207	6.640419627	16.63725311	3.48932058	5.302413216	7.898624362	19.23912445	1.486984124	6.090365539	9.024279727	1.204485816	4.542165678	0.864911654	2.265670856	0.72116339	0.392752181	0.899506257
78	77	7.076404718	10.25227994	4.692712143	13.64585982	0.92479682	5.511207588	2.030063168	8.866273438	1.771675254	5.528788154	17.45931763	3.986407986	5.779095682	7.712423115	15.40255058	1.378251201	6.374332174	10.08627488	1.136838291	4.70164731	0.872210922	2.545032762	0.748484952	0.391607688	0.949510594
79	78	7.130266301	9.971499488	5.993102255	12.41589669	0.86999014	4.97796607	1.887595965	11.9912275	1.902263042	4.894971579	16.90032429	3.971673526	5.291109833	7.676750224	12.65141238	1.385272298	5.482134974	9.272357261	1.077779976	4.396321202	0.865172081	2.908608871	0.779352259	0.416173714	1.001928572
80	79	7.298206155	10.80214118	6.359227765	10.58164077	0.822435828	4.764525897	1.756861528	12.07714205	1.783424853	4.984565383	14.51165052	3.514855046	6.085932862	6.172682228	10.74071753	1.283962782	4.159677757	6.546319319	1.028029613	4.793372391	0.897274679	3.153038591	0.75054068	0.380972799	1.001189835
81	80	7.38214017	8.354686248	5.143302541	10.73369477	0.782586918	5.710446713	1.63130076	16.9212417	1.961871898	5.432792644	13.5918989	3.356885939	6.585380549	6.966944094	8.366142835	1.190218216	4.013585688	7.534989813	1.046665127	5.192060065	1.01271264	3.577926605	0.722158447	0.386910557	1.023764359
82	81	7.196059271	6.363382023	5.030489061	10.05383432	0.749461905	5.280730747	1.5252383	10.75874197	2.192537529	6.130448769	13.86574494	3.544930733	6.906926338	8.891102648	9.402223748	1.105941895	4.662179623	7.522593991	1.00452479	5.491880037	0.946623335	3.354917568	0.694311303	0.393190217	1.082843022
83	82	6.703612472	6.723088509	4.78287922	14.25995439	0.71791282	5.826382443	1.779841169	11.03524964	2.483646338	5.973970722	14.81600438	3.502449388	6.284221833	8.803410595	10.3419417	1.034475805	5.206542166	6.891960467	1.013743678	5.338443031	0.947198874	2.78669192	0.667520432	0.400029257	1.14644417
84	83	5.869382598	6.200855077	2.82980197	14.4567025	0.687160614	6.378324823	1.369974907	16.01301183	2.208940553	6.641098028	17.16043009	4.141866483	7.153101403	6.396653624	9.613682442	1.216864219	4.378996479	7.968035301	0.772527383	5.563090293	0.90876547	2.397423645	0.642292472	0.399214886	1.161988544
85	84	5.53474603	6.456863169	2.859070594	14.24981807	0.657298449	6.160261263	1.453247785	14.71771364	2.079701405	5.280906149	18.12644058	3.556099624	7.295959428	5.960920578	10.69980911	1.201163966	5.383251976	5.98817235	0.739863687	5.441101315	0.870927337	2.095316612	0.667930503	0.391212964	1.232619129
