cell	x	y	cluster
146485.WT_25	1662.4615384615386	1076.3076923076924	c5
146486.WT_25	1665.3529411764705	1138.4117647058824	c8
146488.WT_25	1672.15	1223.6	c7
146489.WT_25	1674.4255319148936	1268.212765957447	c8
146490.WT_25	1679.9710144927535	1332.4927536231885	c10
146491.WT_25	1690.2413793103449	1564.2298850574712	c10
146497.WT_25	1608.5901639344263	234.98360655737704	c15
146499.WT_25	1612.032258064516	317.1935483870968	c6
146501.WT_25	1644.7931034482758	857.8793103448276	c3
146502.WT_25	1664.470588235294	1121.0	c8
146503.WT_25	1669.4827586206898	1147.1896551724135	c5
146504.WT_25	1666.9375	1177.125	c2
146505.WT_25	1671.4851485148515	1282.4554455445543	c8
146506.WT_25	1671.9223300970873	1292.485436893204	c5
146520.WT_25	1608.857142857143	250.7142857142857	c9
146521.WT_25	1612.9012345679012	301.9382716049383	c3
146523.WT_25	1622.2066666666667	455.1066666666667	c21
146526.WT_25	1630.0	562.8965517241379	c5
146528.WT_25	1636.042253521127	688.4788732394367	c2
146530.WT_25	1641.6296296296296	764.3703703703703	c5
146531.WT_25	1651.2333333333331	923.0888888888888	c14
146532.WT_25	1653.3461538461538	929.1923076923076	c3
146534.WT_25	1667.4666666666667	1183.8	c2
146535.WT_25	1674.7222222222222	1289.0555555555557	c10
146537.WT_25	1682.984375	1411.921875	c21
146538.WT_25	1684.3921568627452	1500.0849673202615	c6
146539.WT_25	1687.145161290323	1516.6129032258063	c6
146540.WT_25	1689.6923076923076	1546.5384615384614	c21
146549.WT_25	1622.8030303030305	446.56060606060606	c21
146550.WT_25	1623.1	485.8666666666667	c21
146552.WT_25	1634.0454545454545	643.6818181818181	c12
146554.WT_25	1632.5106382978724	677.1276595744681	c12
146555.WT_25	1644.381443298969	871.5567010309278	c11
146556.WT_25	1654.828282828283	1007.1919191919192	c2
146557.WT_25	1662.076923076923	1124.1538461538462	c0
146558.WT_25	1664.2941176470588	1149.235294117647	c2
146559.WT_25	1665.921052631579	1153.5657894736842	c8
146560.WT_25	1665.8972602739725	1167.0205479452054	c8
146562.WT_25	1673.875	1300.375	c5
146563.WT_25	1677.3333333333333	1325.25	c10
146564.WT_25	1679.657894736842	1406.1842105263158	c10
146565.WT_25	1680.5277777777778	1417.8333333333333	c21
146566.WT_25	1686.0	1480.6666666666667	c6
146568.WT_25	1689.6265060240964	1527.132530120482	c21
146569.WT_25	1689.0641891891892	1534.1317567567569	c21
146585.WT_25	1608.0961538461538	225.60576923076923	c17
146587.WT_25	1617.225806451613	375.64516129032256	c6
146589.WT_25	1634.4166666666667	692.75	c12
146590.WT_25	1635.928571428571	695.7142857142857	c2
146591.WT_25	1638.3258426966293	702.3595505617977	c2
146592.WT_25	1634.2249134948097	720.4186851211073	c8
146593.WT_25	1641.5	787.1875	c2
146594.WT_25	1650.6818181818182	890.7272727272727	c3
146596.WT_25	1657.5555555555557	1042.111111111111	c2
146597.WT_25	1660.1538461538462	1076.4615384615386	c5
146598.WT_25	1663.4117647058824	1158.470588235294	c0
146601.WT_25	1672.127659574468	1309.8085106382978	c21
146602.WT_25	1678.6850393700788	1372.732283464567	c2
146603.WT_25	1679.1676300578035	1388.8728323699422	c10
146604.WT_25	1681.608695652174	1484.195652173913	c10
146616.WT_25	1628.5333333333333	571.3333333333334	c21
146618.WT_25	1641.3333333333333	801.9629629629629	c2
146619.WT_25	1644.1225165562914	821.3741721854304	c2
146620.WT_25	1646.054054054054	885.027027027027	c3
146621.WT_25	1650.3106796116506	954.6601941747572	c3
146622.WT_25	1654.6666666666667	1026.4	c1
146623.WT_25	1662.2727272727273	1142.7272727272727	c8
146625.WT_25	1671.3076923076924	1322.7435897435898	c10
146626.WT_25	1689.467213114754	1582.122950819672	c6
146628.WT_25	1697.3186813186812	1666.241758241758	c30
146638.WT_25	1603.9714285714283	238.0857142857143	c15
146640.WT_25	1611.6632653061224	368.3469387755102	c10
146642.WT_25	1626.9166666666667	558.9444444444445	c21
146644.WT_25	1628.6262626262626	618.4747474747475	c12
146645.WT_25	1634.768115942029	648.4057971014493	c3
146647.WT_25	1639.357142857143	751.0	c5
146648.WT_25	1639.1645569620252	755.6835443037975	c5
146649.WT_25	1648.881118881119	908.7132867132868	c7
146651.WT_25	1668.1666666666667	1261.570512820513	c8
146663.WT_25	1617.7777777777778	462.25	c21
146664.WT_25	1622.34693877551	512.2244897959183	c2
146665.WT_25	1640.3620689655172	778.7758620689655	c5
146666.WT_25	1647.1153846153843	941.9807692307692	c2
146667.WT_25	1654.0227272727273	1017.681818181818	c2
146668.WT_25	1660.0281690140846	1132.4788732394366	c2
146670.WT_25	1665.7708333333333	1229.0833333333333	c2
146671.WT_25	1670.1304347826087	1303.5652173913045	c8
146672.WT_25	1669.6363636363635	1316.090909090909	c10
146673.WT_25	1675.8	1360.7085714285715	c7
146688.WT_25	1615.8333333333333	395.56944444444446	c12
146689.WT_25	1619.05	482.4	c21
146692.WT_25	1624.4864864864865	564.4324324324324	c5
146693.WT_25	1626.7878787878788	591.5454545454545	c2
146694.WT_25	1632.932642487047	630.8860103626943	c2
146696.WT_25	1638.9	766.4	c5
146697.WT_25	1644.8010752688172	842.3602150537635	c2
146699.WT_25	1652.3793103448277	1036.4367816091954	c23
146700.WT_25	1656.08	1058.8	c5
146701.WT_25	1666.529197080292	1330.558394160584	c2
146702.WT_25	1676.7951807228917	1350.698795180723	c2
146703.WT_25	1677.5151515151515	1380.0454545454545	c23
146705.WT_25	1683.953488372093	1519.0232558139537	c9
146714.WT_25	1603.5703703703705	309.97037037037035	c3
146715.WT_25	1617.9195402298851	411.2701149425287	c12
146716.WT_25	1618.647619047619	430.87619047619046	c6
146717.WT_25	1620.6041666666667	507.1875	c10
146719.WT_25	1626.5	585.5	c5
146720.WT_25	1628.4545454545455	652.9090909090909	c12
146721.WT_25	1632.0625	697.40625	c25
146723.WT_25	1639.7837837837835	795.2972972972973	c2
146726.WT_25	1659.0555555555557	1121.3333333333333	c5
146728.WT_25	1664.625	1205.553571428571	c0
146740.WT_25	1602.2068965517242	229.8275862068965	c17
146741.WT_25	1606.5096153846157	292.65384615384613	c17
146742.WT_25	1614.4905660377358	420.52830188679246	c7
146743.WT_25	1618.357142857143	438.2857142857143	c10
146746.WT_25	1626.928571428571	640.7321428571429	c12
146747.WT_25	1629.5208333333333	664.8958333333334	c12
146748.WT_25	1631.5357142857142	706.8928571428571	c2
146749.WT_25	1638.0444444444445	843.0444444444445	c2
146750.WT_25	1656.573770491803	1070.5901639344263	c5
146751.WT_25	1659.6923076923076	1165.076923076923	c23
146764.WT_25	1605.0136054421769	348.80272108843536	c6
146765.WT_25	1612.1149425287356	399.8965517241379	c12
146766.WT_25	1623.8360655737704	570.1803278688525	c5
146767.WT_25	1645.156462585034	895.3265306122449	c32
146768.WT_25	1659.625	1146.125	c5
146769.WT_25	1665.736111111111	1296.1666666666667	c8
146770.WT_25	1662.8389261744967	1308.489932885906	c2
146787.WT_25	1600.9183673469388	247.1530612244898	c9
146790.WT_25	1631.5526315789473	732.7368421052631	c5
146791.WT_25	1632.4411764705883	757.2647058823529	c5
146792.WT_25	1652.409090909091	1021.318181818182	c2
