cell	x	y	cluster
63271.WT_25	4636.28125	1176.8541666666667	c21
63291.WT_25	4591.052631578948	512.0263157894736	c9
63292.WT_25	4599.857142857143	615.8571428571429	c21
63293.WT_25	4604.772727272727	711.9545454545455	c2
63294.WT_25	4622.27027027027	1029.8108108108108	c8
63296.WT_25	4652.693430656935	1441.963503649635	c15
63312.WT_25	4611.38	790.18	c2
63313.WT_25	4613.620253164557	807.4050632911392	c2
63314.WT_25	4615.770114942528	927.9022988505748	c5
63316.WT_25	4625.011363636364	1084.3068181818182	c11
63318.WT_25	4632.742857142857	1145.9857142857145	c21
63320.WT_25	4650.429752066116	1395.9173553719008	c3
63333.WT_25	4588.949275362319	477.71014492753625	c7
63334.WT_25	4597.626086956522	633.5391304347826	c9
63336.WT_25	4602.5	693.1875	c11
63337.WT_25	4607.357142857143	793.0714285714286	c22
63340.WT_25	4620.808510638298	993.4042553191488	c9
63341.WT_25	4625.611650485437	1100.1456310679612	c11
63352.WT_25	4603.368421052632	729.9868421052631	c11
63353.WT_25	4614.620689655172	913.7241379310344	c2
63354.WT_25	4616.943089430894	960.040650406504	c11
63355.WT_25	4625.056074766355	1056.4205607476636	c2
63357.WT_25	4626.916666666667	1076.128787878788	c11
63378.WT_25	4593.529411764706	600.0294117647059	c21
63379.WT_25	4597.942028985507	663.3405797101449	c11
63380.WT_25	4611.95744680851	862.8297872340426	c8
63397.WT_25	4605.515384615384	763.1846153846154	c9
63398.WT_25	4607.063157894737	778.0736842105263	c2
63399.WT_25	4609.0	801.6116504854369	c2
63400.WT_25	4608.958333333333	830.0	c8
63417.WT_25	4592.139534883721	567.7906976744187	c21
63418.WT_25	4603.571428571428	751.8095238095239	c2
63419.WT_25	4610.568627450981	896.5882352941177	c5
63420.WT_25	4619.271186440678	1020.7118644067796	c2
63424.WT_25	4638.357894736842	1282.3894736842103	c11
63425.WT_25	4637.175824175824	1303.4615384615386	c22
63426.WT_25	4637.924528301887	1350.446540880503	c22
63427.WT_25	4640.983783783784	1360.6	c11
63428.WT_25	4642.153846153846	1420.1298076923076	c15
63443.WT_25	4581.588235294118	417.1764705882353	c17
63444.WT_25	4590.083333333333	560.875	c10
63445.WT_25	4594.989361702128	612.2872340425532	c21
63446.WT_25	4598.636363636364	690.969696969697	c2
63447.WT_25	4605.369863013699	744.3561643835617	c9
63448.WT_25	4608.32	838.72	c8
63449.WT_25	4612.691176470588	886.75	c5
63450.WT_25	4614.321428571428	942.8571428571428	c12
63453.WT_25	4620.0	1050.7125	c2
63454.WT_25	4621.638888888889	1064.861111111111	c11
63455.WT_25	4631.213114754099	1232.377049180328	c9
63457.WT_25	4639.9296875	1372.8984375	c22
63458.WT_25	4645.137931034483	1429.0344827586207	c15
63459.WT_25	4646.6	1448.7217391304348	c15
63465.WT_25	4582.615384615385	436.5384615384616	c15
63466.WT_25	4582.621621621622	483.1621621621622	c7
63468.WT_25	4604.513513513513	784.9324324324324	c11
63469.WT_25	4605.756944444444	815.1458333333334	c2
63471.WT_25	4618.962962962963	1098.358024691358	c9
63472.WT_25	4624.982456140351	1137.122807017544	c6
63473.WT_25	4624.571428571428	1143.5873015873017	c11
63474.WT_25	4630.902173913043	1246.608695652174	c9
63475.WT_25	4630.532608695652	1261.8369565217392	c11
63489.WT_25	4590.0	597.925925925926	c21
63490.WT_25	4593.905660377359	627.4716981132076	c21
63491.WT_25	4598.045454545455	686.3181818181819	c11
63492.WT_25	4600.614285714286	713.4142857142857	c2
63493.WT_25	4601.125	756.0833333333334	c9
63496.WT_25	4610.641509433963	873.9433962264151	c5
63497.WT_25	4612.491228070176	950.421052631579	c8
63500.WT_25	4626.689189189189	1155.027027027027	c10
63501.WT_25	4636.259259259259	1288.037037037037	c9
63502.WT_25	4640.190243902439	1386.4926829268293	c11
63525.WT_25	4605.35294117647	830.1176470588235	c2
63526.WT_25	4605.315789473684	866.3421052631579	c5
63527.WT_25	4618.5625	1032.71875	c2
63528.WT_25	4618.421052631579	1069.5526315789473	c2
63529.WT_25	4626.262411347518	1170.531914893617	c21
63542.WT_25	4582.291666666667	500.72222222222223	c9
63544.WT_25	4599.66	721.42	c9
63545.WT_25	4597.64705882353	742.843137254902	c11
63570.WT_25	4583.521428571428	508.0857142857143	c9
63571.WT_25	4586.6875	563.21875	c10
63573.WT_25	4602.142857142857	791.7857142857143	c11
63574.WT_25	4621.490774907749	1111.3837638376383	c9
63575.WT_25	4629.736842105263	1298.7157894736845	c12
63589.WT_25	4590.912621359224	620.7864077669902	c21
63590.WT_25	4592.931034482759	644.2758620689655	c9
63591.WT_25	4597.058823529412	679.7352941176471	c11
63592.WT_25	4597.3125	759.1875	c2
63593.WT_25	4610.012195121952	906.5243902439024	c5
63595.WT_25	4616.652173913043	1009.4565217391304	c22
63596.WT_25	4618.04347826087	1132.7282608695652	c9
63597.WT_25	4622.15	1160.5625	c21
63614.WT_25	4576.141414141414	430.3838383838384	c15
63615.WT_25	4579.988505747127	443.42528735632186	c15
63616.WT_25	4581.617283950617	468.1358024691358	c14
63617.WT_25	4586.777777777777	569.7037037037037	c21
63618.WT_25	4588.269841269841	609.4444444444445	c21
63621.WT_25	4607.454545454545	887.5757575757576	c5
63637.WT_25	4597.631578947368	790.3157894736842	c2
63638.WT_25	4603.153846153846	836.5846153846154	c8
63643.WT_25	4638.414634146341	1400.658536585366	c3
63656.WT_25	4586.909090909091	601.7727272727273	c21
63657.WT_25	4587.0	627.516129032258	c21
63658.WT_25	4596.45	785.1	c2
63659.WT_25	4598.525641025641	805.3076923076923	c2
63660.WT_25	4608.325581395349	920.4418604651164	c8
63661.WT_25	4609.116666666667	942.3166666666668	c8
63662.WT_25	4615.375	1044.1875	c8
63663.WT_25	4614.733333333334	1053.5333333333333	c11
63664.WT_25	4616.185185185185	1091.4074074074074	c3
63673.WT_25	4583.105263157895	571.2631578947369	c21
63674.WT_25	4600.16091954023	797.264367816092	c9
63676.WT_25	4609.583333333333	959.75	c5
63677.WT_25	4616.012738853503	1122.9426751592357	c9
63679.WT_25	4624.754901960784	1198.3921568627452	c9
63700.WT_25	4584.181818181818	603.6363636363636	c21
63701.WT_25	4591.896825396825	715.2380952380952	c11
63702.WT_25	4600.913043478261	830.3478260869565	c8
63703.WT_25	4603.888888888889	891.5555555555555	c5
63704.WT_25	4602.367088607595	905.506329113924	c5
63705.WT_25	4606.4607843137255	930.9019607843136	c8
63706.WT_25	4607.636363636364	954.431818181818	c8
63725.WT_25	4579.698113207547	565.2641509433962	c10
63727.WT_25	4594.291666666667	767.3333333333334	c11
63728.WT_25	4596.1509433962265	779.433962264151	c11
63729.WT_25	4602.292079207921	880.7722772277227	c5
63730.WT_25	4612.5	1039.8260869565215	c8
63731.WT_25	4613.615384615385	1050.2307692307693	c8
63732.WT_25	4624.224489795918	1210.857142857143	c22
63759.WT_25	4574.2	447.4	c27
63760.WT_25	4580.36	516.98	c9
63761.WT_25	4581.540540540541	611.9459459459459	c21
63763.WT_25	4588.1578947368425	647.9078947368421	c22
63764.WT_25	4599.081081081081	824.8378378378378	c8
63765.WT_25	4602.308823529412	896.0147058823529	c5
63766.WT_25	4608.344594594595	968.141891891892	c8
63767.WT_25	4611.957943925234	1080.0981308411217	c11
63769.WT_25	4639.2467532467535	1437.935064935065	c15
63778.WT_25	4576.388888888889	512.6666666666666	c9
63780.WT_25	4582.627906976744	578.8604651162791	c13
63781.WT_25	4583.809523809524	616.2857142857143	c21
63783.WT_25	4595.575	749.9625	c11
63784.WT_25	4605.875	946.75	c8
63785.WT_25	4603.782608695652	961.0	c11
63787.WT_25	4619.2	1165.7333333333331	c10
63788.WT_25	4622.43795620438	1221.4014598540143	c9
63789.WT_25	4623.86170212766	1242.957446808511	c9
63807.WT_25	4577.981818181818	478.27272727272725	c7
63809.WT_25	4591.577777777778	729.6	c11
63810.WT_25	4596.869565217391	829.3478260869565	c8
63811.WT_25	4603.940677966101	916.9406779661016	c8
63812.WT_25	4624.768115942029	1291.3478260869565	c12
63813.WT_25	4632.096774193548	1430.9225806451614	c15
63828.WT_25	4574.688172043011	461.61290322580646	c17
63829.WT_25	4581.094339622641	593.7735849056604	c10
63830.WT_25	4581.4375	607.3125	c21
63831.WT_25	4587.324675324675	689.4155844155844	c11
63832.WT_25	4592.648780487805	700.0780487804878	c11
63834.WT_25	4604.576923076923	975.2628205128206	c2
63835.WT_25	4610.428571428572	1051.2857142857142	c2
63836.WT_25	4612.684210526316	1069.157894736842	c14
63837.WT_25	4610.727272727273	1089.8	c11
63839.WT_25	4635.802083333333	1408.4791666666667	c3
63855.WT_25	4571.166666666667	476.4814814814815	c7
63857.WT_25	4598.0	841.7083333333334	c8
63858.WT_25	4601.0	925.25	c8
63859.WT_25	4603.913043478261	950.1304347826087	c8
63861.WT_25	4617.409090909091	1170.7727272727273	c21
63878.WT_25	4569.831325301205	439.96385542168673	c15
63879.WT_25	4574.112359550561	485.6516853932585	c7
63880.WT_25	4579.64705882353	598.6470588235294	c21
63881.WT_25	4577.132075471698	604.7924528301887	c21
63883.WT_25	4588.722222222223	674.2777777777778	c11
63884.WT_25	4587.551724137931	750.4827586206897	c11
63885.WT_25	4587.523255813953	756.1279069767442	c11
63887.WT_25	4600.0	912.75	c9
63888.WT_25	4601.851851851852	954.6296296296296	c8
63889.WT_25	4607.448275862069	1071.3103448275865	c2
63890.WT_25	4616.92	1143.6	c9
63893.WT_25	4629.370078740158	1395.5984251968505	c3
63908.WT_25	4571.133333333333	417.3555555555556	c17
63909.WT_25	4572.44262295082	454.5409836065574	c15
63910.WT_25	4571.769230769231	492.9230769230769	c7
63913.WT_25	4581.131578947368	629.4473684210526	c10
63914.WT_25	4581.344186046512	639.4046511627907	c11
63915.WT_25	4582.228855721393	665.8855721393035	c11
63916.WT_25	4589.4375	761.625	c11
63917.WT_25	4594.416666666667	833.625	c8
63918.WT_25	4596.944444444444	836.3333333333334	c8
63919.WT_25	4634.04347826087	1442.391304347826	c15
63938.WT_25	4572.174603174603	468.6190476190476	c7
63940.WT_25	4581.53125	621.53125	c21
63941.WT_25	4594.433962264151	813.6132075471698	c6
63942.WT_25	4594.37037037037	839.4814814814815	c5
63943.WT_25	4595.221518987341	870.5822784810126	c5
63944.WT_25	4611.75	1098.428571428571	c9
63954.WT_25	4565.518518518518	416.22222222222223	c17
63955.WT_25	4574.238095238095	499.4761904761905	c9
63957.WT_25	4584.653846153846	721.6538461538462	c0
63959.WT_25	4591.714285714285	804.6285714285714	c9
63960.WT_25	4596.636363636364	914.3636363636364	c5
63962.WT_25	4608.5	1094.571428571429	c11
63965.WT_25	4615.478260869565	1151.0434782608695	c9
63966.WT_25	4613.975903614458	1164.2168674698796	c21
63967.WT_25	4616.579831932773	1198.563025210084	c12
63986.WT_25	4574.772727272727	580.9090909090909	c22
63988.WT_25	4578.7	617.95	c21
63989.WT_25	4581.689655172414	654.3448275862069	c11
63991.WT_25	4596.266666666666	887.5777777777778	c5
63992.WT_25	4599.018867924528	934.6981132075472	c8
63993.WT_25	4609.350649350649	1103.5974025974026	c11
63995.WT_25	4628.458333333333	1413.4305555555557	c15
63996.WT_25	4626.911504424779	1445.008849557522	c15
64008.WT_25	4566.721649484536	424.7525773195876	c15
64009.WT_25	4575.25	572.075	c21
64010.WT_25	4589.535714285715	786.4404761904761	c11
64011.WT_25	4601.294871794872	995.4166666666666	c5
64012.WT_25	4618.755905511811	1233.7007874015749	c9
64013.WT_25	4627.895348837209	1421.9651162790697	c15
64024.WT_25	4567.098591549296	449.09859154929575	c17
64026.WT_25	4576.882352941177	611.5294117647059	c10
64027.WT_25	4583.4742857142855	678.8342857142857	c11
64028.WT_25	4587.6626506024095	773.7650602409639	c11
64029.WT_25	4592.214285714285	829.5357142857143	c8
64030.WT_25	4602.96551724138	942.4310344827586	c8
64031.WT_25	4609.174757281553	1060.378640776699	c11
64032.WT_25	4614.913043478261	1191.391304347826	c9
64033.WT_25	4619.421545667447	1269.782201405152	c11
64034.WT_25	4625.061403508772	1385.938596491228	c9
64059.WT_25	4571.9	510.35	c9
64063.WT_25	4584.626506024097	706.9277108433735	c11
64064.WT_25	4589.939597315436	890.8926174496644	c5
64065.WT_25	4595.933333333333	918.3333333333334	c5
64066.WT_25	4597.815789473684	940.578947368421	c8
64067.WT_25	4605.857142857143	1098.047619047619	c11
64068.WT_25	4610.5	1160.0	c11
64069.WT_25	4615.98	1245.06	c9
64070.WT_25	4622.929577464789	1344.225352112676	c9
64079.WT_25	4567.631578947368	515.8157894736842	c9
64081.WT_25	4582.041666666667	694.9583333333334	c9
64082.WT_25	4590.3125	837.25	c8
64083.WT_25	4592.782608695652	898.6086956521739	c5
64084.WT_25	4593.136690647482	907.8920863309352	c5
64085.WT_25	4598.105263157895	949.5263157894736	c2
64088.WT_25	4617.375	1290.1166666666666	c11
64104.WT_25	4579.231884057971	710.1304347826087	c11
64105.WT_25	4582.3	726.3	c11
64107.WT_25	4590.486486486487	877.0540540540541	c5
64108.WT_25	4596.076923076923	927.9807692307692	c2
64109.WT_25	4595.928571428572	968.1428571428572	c22
64110.WT_25	4603.828571428571	1053.142857142857	c22
64111.WT_25	4610.555555555556	1167.4444444444443	c21
64129.WT_25	4566.769230769231	480.46153846153845	c7
64130.WT_25	4569.0	499.969696969697	c9
64131.WT_25	4570.521428571428	593.6857142857143	c10
64132.WT_25	4573.942857142857	617.6571428571428	c21
64133.WT_25	4577.142857142857	623.7619047619048	c13
64134.WT_25	4576.2	627.16	c10
64137.WT_25	4587.553398058252	793.9417475728155	c2
64138.WT_25	4589.64406779661	821.6355932203389	c2
64139.WT_25	4591.592592592592	915.7777777777778	c5
64140.WT_25	4593.333333333333	945.1555555555556	c5
64160.WT_25	4572.152173913043	560.695652173913	c9
64164.WT_25	4582.6349206349205	781.6507936507936	c9
64165.WT_25	4584.553846153846	812.1538461538462	c8
64166.WT_25	4605.98	1134.69	c9
64167.WT_25	4609.436974789916	1142.235294117647	c9
64168.WT_25	4610.733333333334	1183.2333333333331	c10
64178.WT_25	4564.686567164179	470.6865671641791	c7
64179.WT_25	4563.851063829788	487.9503546099291	c7
64180.WT_25	4568.772727272727	507.39772727272725	c9
64184.WT_25	4593.166666666667	936.3055555555557	c8
64185.WT_25	4602.306818181818	1048.784090909091	c2
64186.WT_25	4617.141891891892	1351.25	c22
64208.WT_25	4607.670731707317	1168.9756097560976	c21
64209.WT_25	4609.666666666667	1190.9375	c9
64226.WT_25	4582.409090909091	794.8939393939394	c9
64227.WT_25	4587.15625	837.15625	c5
64228.WT_25	4593.727272727273	970.2727272727273	c11
64230.WT_25	4600.463414634146	1101.5365853658536	c11
64231.WT_25	4601.486486486487	1107.1351351351352	c9
64232.WT_25	4609.642857142857	1177.2857142857142	c10
64233.WT_25	4606.619047619048	1188.809523809524	c9
64256.WT_25	4576.621848739495	716.1596638655462	c11
64258.WT_25	4582.78313253012	805.1325301204819	c2
64259.WT_25	4584.523076923077	827.3076923076923	c5
64276.WT_25	4562.915384615385	434.8692307692308	c15
64279.WT_25	4568.818181818182	613.5113636363636	c10
64281.WT_25	4573.258064516129	634.9354838709677	c11
64283.WT_25	4573.790697674419	679.2674418604652	c11
64284.WT_25	4575.735849056604	701.8301886792453	c11
64285.WT_25	4586.941176470588	901.1764705882352	c5
64287.WT_25	4604.490196078431	1115.2549019607843	c9
64288.WT_25	4607.126865671642	1154.1641791044776	c21
64289.WT_25	4609.634328358209	1204.186567164179	c9
64303.WT_25	4574.732394366197	692.6901408450705	c11
64304.WT_25	4577.346666666666	731.84	c11
64305.WT_25	4581.5625	816.6875	c8
64306.WT_25	4589.473684210527	937.842105263158	c8
64307.WT_25	4597.786610878661	1069.3556485355648	c11
64308.WT_25	4605.636363636364	1176.0454545454545	c10
64310.WT_25	4604.6875	1184.0833333333333	c9
64311.WT_25	4609.452830188679	1221.2641509433963	c11
64312.WT_25	4611.421052631579	1257.9342105263158	c11
64324.WT_25	4559.391304347826	429.8695652173913	c15
64325.WT_25	4558.545454545455	441.27272727272725	c27
64326.WT_25	4559.906976744186	446.7906976744186	c27
64327.WT_25	4571.25	624.6071428571429	c11
64329.WT_25	4576.770491803279	724.655737704918	c11
64330.WT_25	4578.725	798.3	c11
64331.WT_25	4601.028985507246	1090.144927536232	c8
64332.WT_25	4599.718954248366	1122.8954248366013	c9
64333.WT_25	4609.940677966101	1246.033898305085	c11
64334.WT_25	4618.687096774193	1372.9354838709678	c3
64352.WT_25	4557.103626943005	477.0777202072539	c7
64356.WT_25	4584.5	897.0	c5
64357.WT_25	4597.03488372093	1083.8372093023256	c11
64367.WT_25	4553.641025641025	430.5	c15
64368.WT_25	4555.428571428572	452.6507936507937	c27
64369.WT_25	4559.091503267974	461.2875816993464	c17
64375.WT_25	4587.993630573248	923.0445859872611	c5
64376.WT_25	4587.894736842105	939.842105263158	c8
64395.WT_25	4568.916666666667	628.3888888888889	c10
64396.WT_25	4579.740740740741	827.8888888888889	c8
64397.WT_25	4581.045454545455	836.0909090909091	c5
64398.WT_25	4596.03125	1032.5625	c22
64407.WT_25	4565.790697674419	569.0325581395349	c9
64408.WT_25	4587.45	932.15	c5
64426.WT_25	4567.988095238095	604.9047619047619	c10
64428.WT_25	4584.617647058823	940.1176470588236	c8
64430.WT_25	4600.486187845304	1209.6187845303868	c11
64431.WT_25	4604.203389830508	1235.915254237288	c9
64433.WT_25	4615.110599078341	1411.552995391705	c15
64445.WT_25	4567.620689655172	633.7241379310345	c6
64447.WT_25	4574.899082568807	778.5779816513761	c11
64451.WT_25	4608.333333333333	1304.125	c11
64452.WT_25	4617.052863436124	1427.0528634361233	c15
64460.WT_25	4557.875598086124	496.52153110047846	c7
64462.WT_25	4576.109375	831.15625	c5
64463.WT_25	4583.055555555556	893.6666666666666	c5
64464.WT_25	4587.877300613497	953.8865030674848	c5
64465.WT_25	4598.59375	1161.6875	c21
64466.WT_25	4617.59375	1441.8125	c17
64480.WT_25	4555.796992481203	509.76691729323306	c11
64481.WT_25	4574.284615384616	739.4846153846154	c11
64482.WT_25	4574.475409836065	748.1475409836065	c11
64484.WT_25	4575.038461538462	800.8076923076923	c5
64486.WT_25	4592.733333333334	1088.3333333333333	c8
64487.WT_25	4595.387096774193	1100.258064516129	c11
64488.WT_25	4595.5	1109.3	c9
64508.WT_25	4582.621794871795	876.224358974359	c5
64509.WT_25	4584.35294117647	932.8235294117648	c8
64510.WT_25	4587.18	967.2	c2
64511.WT_25	4586.212765957447	973.6170212765958	c2
64512.WT_25	4590.444444444444	1016.4188034188036	c22
64524.WT_25	4550.758928571428	443.875	c15
64528.WT_25	4581.0	891.25	c5
64529.WT_25	4580.720930232558	924.5581395348836	c5
64530.WT_25	4590.0	1060.8666666666666	c11
64531.WT_25	4593.419354838709	1094.6774193548388	c9
64532.WT_25	4598.2558139534885	1171.186046511628	c9
64533.WT_25	4606.578231292517	1347.142857142857	c9
64548.WT_25	4554.709677419355	506.3225806451613	c11
64550.WT_25	4581.291925465838	906.6583850931676	c5
64552.WT_25	4603.508064516129	1269.2903225806451	c22
64567.WT_25	4548.463768115942	470.9420289855073	c7
64568.WT_25	4574.421052631579	806.5526315789474	c8
64569.WT_25	4578.208333333333	896.5833333333334	c5
64570.WT_25	4591.0	1090.695652173913	c9
64571.WT_25	4595.679069767441	1149.3069767441862	c11
64572.WT_25	4597.295774647887	1179.8169014084508	c9
64573.WT_25	4600.716666666666	1233.3833333333334	c9
64595.WT_25	4559.267676767677	607.2777777777778	c6
64597.WT_25	4571.6277372262775	789.3576642335767	c11
64598.WT_25	4580.894736842105	932.421052631579	c5
64599.WT_25	4592.795833333334	1133.6541666666667	c9
64600.WT_25	4597.549450549451	1192.8296703296703	c9
64613.WT_25	4550.133333333333	462.6666666666667	c7
64617.WT_25	4599.708333333333	1227.375	c9
64632.WT_25	4565.064814814815	673.0185185185185	c11
64633.WT_25	4569.9	803.3	c5
64634.WT_25	4572.565217391304	812.7101449275362	c5
64653.WT_25	4567.142857142857	807.5142857142857	c5
64654.WT_25	4574.306818181818	871.6818181818181	c5
64655.WT_25	4588.373333333333	1070.253333333333	c11
64657.WT_25	4602.366666666667	1299.4333333333334	c9
64658.WT_25	4604.09375	1330.578125	c0
64676.WT_25	4570.615384615385	831.0	c8
64677.WT_25	4574.535135135136	886.2108108108108	c5
64694.WT_25	4552.074074074074	516.8148148148148	c11
64695.WT_25	4561.327731092437	638.9243697478992	c11
64696.WT_25	4559.883720930233	665.1085271317829	c7
64697.WT_25	4566.8	707.9066666666666	c11
64699.WT_25	4573.2213114754095	821.7295081967213	c5
64700.WT_25	4579.6	936.35	c5
64701.WT_25	4604.7875	1428.2833333333333	c15
64715.WT_25	4557.128571428571	593.2857142857143	c9
64717.WT_25	4559.198757763975	657.1304347826087	c11
64719.WT_25	4564.753731343284	721.2313432835821	c11
64721.WT_25	4579.057692307692	963.75	c8
64722.WT_25	4578.977611940299	980.5074626865672	c11
64733.WT_25	4549.118421052632	500.0921052631579	c11
64734.WT_25	4569.423076923077	798.6153846153846	c9
64735.WT_25	4563.106870229008	817.2290076335878	c5
64736.WT_25	4570.071428571428	835.6428571428571	c9
64738.WT_25	4581.411764705882	1020.8970588235294	c2
64739.WT_25	4586.019867549669	1077.8543046357615	c5
64740.WT_25	4591.815789473684	1224.6473684210523	c11
64763.WT_25	4552.770833333333	609.5208333333334	c7
64765.WT_25	4579.0	970.4814814814816	c8
64766.WT_25	4584.893617021276	1091.957446808511	c8
64767.WT_25	4605.068493150685	1413.4657534246576	c15
64778.WT_25	4544.194805194805	433.7402597402597	c15
64781.WT_25	4550.333333333333	573.1212121212121	c23
64786.WT_25	4566.666666666667	780.7179487179487	c11
64787.WT_25	4569.8378378378375	869.5405405405405	c5
64789.WT_25	4587.9473684210525	1119.0526315789473	c9
64791.WT_25	4591.593220338983	1183.6101694915253	c9
64805.WT_25	4543.4029850746265	440.2089552238806	c15
64809.WT_25	4574.682926829269	972.439024390244	c2
64810.WT_25	4583.221428571429	1056.6285714285714	c11
64820.WT_25	4572.96	903.48	c5
64821.WT_25	4576.355263157895	913.092105263158	c5
64822.WT_25	4572.093922651934	928.182320441989	c5
64824.WT_25	4584.517857142857	1098.071428571429	c8
64825.WT_25	4587.079295154185	1108.273127753304	c9
64826.WT_25	4600.087719298245	1409.0701754385964	c15
64840.WT_25	4561.489361702128	761.5425531914893	c23
64841.WT_25	4573.584158415842	948.2277227722772	c5
64853.WT_25	4555.663366336634	645.990099009901	c11
64854.WT_25	4555.102564102564	675.1794871794872	c22
64857.WT_25	4558.529411764706	704.8602941176471	c9
64859.WT_25	4563.513513513513	798.8108108108108	c5
64860.WT_25	4584.054263565891	1188.1007751937984	c9
64861.WT_25	4605.971153846154	1442.1538461538462	c9
64877.WT_25	4547.108108108108	556.668918918919	c9
64878.WT_25	4570.64705882353	902.0	c5
64879.WT_25	4570.642857142857	962.2619047619048	c8
64890.WT_25	4539.573333333334	426.7866666666667	c14
64891.WT_25	4540.093333333333	447.3733333333333	c27
64892.WT_25	4543.431818181818	464.0681818181818	c7
64896.WT_25	4569.113333333334	915.2866666666666	c5
64897.WT_25	4572.791666666667	936.7916666666666	c5
64898.WT_25	4578.055555555556	1026.611111111111	c2
64899.WT_25	4576.833333333333	1031.2916666666667	c2
64900.WT_25	4575.539130434782	1062.008695652174	c9
64901.WT_25	4581.105263157895	1117.6666666666667	c9
64902.WT_25	4580.411149825784	1129.369337979094	c9
64903.WT_25	4598.085714285714	1339.5523809523809	c9
64918.WT_25	4540.744047619048	455.8095238095238	c27
64919.WT_25	4540.981132075472	475.66037735849056	c7
64920.WT_25	4541.126436781609	501.14367816091954	c7
64925.WT_25	4565.277777777777	848.0555555555555	c8
64937.WT_25	4559.357142857143	788.2142857142857	c2
64940.WT_25	4579.235294117647	1079.8235294117646	c5
64941.WT_25	4579.890909090909	1085.5272727272727	c8
64942.WT_25	4588.965909090909	1205.8238636363635	c11
64944.WT_25	4591.923913043478	1335.5217391304348	c9
64958.WT_25	4553.831168831169	728.9415584415584	c11
64959.WT_25	4562.343434343435	778.5252525252525	c9
64960.WT_25	4564.179487179487	867.6025641025641	c5
64961.WT_25	4575.521126760564	1113.042253521127	c9
64963.WT_25	4596.582524271845	1401.631067961165	c9
64972.WT_25	4543.823529411765	515.2941176470588	c11
64973.WT_25	4550.602564102564	634.3076923076923	c11
64974.WT_25	4559.878048780488	807.3170731707318	c8
64975.WT_25	4566.323529411765	879.2058823529412	c5
64976.WT_25	4571.5	977.2083333333334	c9
64978.WT_25	4584.006756756757	1172.554054054054	c9
64980.WT_25	4587.294117647059	1216.5411764705882	c11
64996.WT_25	4548.539473684211	598.2763157894736	c10
64997.WT_25	4550.083333333333	623.4444444444445	c0
65015.WT_25	4548.964285714285	619.0357142857143	c2
65018.WT_25	4557.62962962963	753.0666666666667	c11
65019.WT_25	4554.616541353384	795.9473684210526	c8
65020.WT_25	4568.971428571429	970.6857142857144	c2
65022.WT_25	4574.139534883721	1020.953488372093	c11
65039.WT_25	4584.5	1239.1029411764705	c11
65040.WT_25	4592.801136363636	1392.0681818181818	c14
65055.WT_25	4534.418604651163	439.6046511627907	c27
65059.WT_25	4552.213333333333	710.96	c11
65060.WT_25	4555.680232558139	772.1686046511628	c22
65061.WT_25	4557.9047619047615	823.0952380952381	c5
65064.WT_25	4568.923076923077	980.6923076923076	c2
65065.WT_25	4584.9	1200.5333333333333	c9
65081.WT_25	4539.285714285715	530.5798319327731	c17
65082.WT_25	4542.8536585365855	572.2682926829268	c6
65083.WT_25	4558.672413793103	849.4827586206897	c8
65084.WT_25	4557.695652173913	856.5217391304348	c8
65085.WT_25	4561.246621621622	900.6756756756756	c5
65086.WT_25	4564.114427860696	940.995024875622	c5
65087.WT_25	4574.06329113924	1072.367088607595	c5
65088.WT_25	4584.047619047619	1198.047619047619	c9
65102.WT_25	4537.086419753086	516.4938271604939	c11
65103.WT_25	4541.371794871795	565.5	c7
65104.WT_25	4543.7307692307695	616.4230769230769	c16
65106.WT_25	4561.763157894737	954.5	c8
65108.WT_25	4574.181818181818	1120.409090909091	c9
65109.WT_25	4591.172413793103	1348.344827586207	c11
65130.WT_25	4539.8859649122805	607.4342105263158	c11
65131.WT_25	4563.594202898551	972.0144927536232	c2
65132.WT_25	4570.35294117647	1031.470588235294	c2
65133.WT_25	4579.225181598063	1152.9709443099273	c9
65135.WT_25	4581.095238095239	1231.8761904761905	c11
65145.WT_25	4546.138075313807	682.9832635983264	c11
65146.WT_25	4557.809523809524	842.2380952380952	c8
65147.WT_25	4560.070796460177	916.3097345132744	c5
65148.WT_25	4561.5	932.0	c5
65149.WT_25	4574.789473684211	1090.5526315789473	c8
65150.WT_25	4575.163636363636	1097.0181818181818	c9
65151.WT_25	4589.956043956044	1378.2637362637363	c14
65152.WT_25	4592.833333333333	1426.159420289855	c15
65172.WT_25	4552.071428571428	742.8367346938776	c11
65173.WT_25	4554.555555555556	823.6111111111111	c8
65174.WT_25	4557.101694915255	831.7062146892655	c8
65175.WT_25	4561.5	924.3636363636364	c5
65176.WT_25	4567.922535211268	1015.9014084507044	c11
65177.WT_25	4568.666666666667	1024.962962962963	c2
65179.WT_25	4570.69696969697	1083.2121212121212	c5
65181.WT_25	4591.538461538462	1356.3986013986014	c3
65192.WT_25	4542.2	634.86	c11
65193.WT_25	4543.935222672065	651.9271255060729	c22
65196.WT_25	4550.9375	780.5625	c2
65197.WT_25	4558.145833333333	863.5833333333334	c5
65198.WT_25	4562.915492957746	979.9295774647888	c2
65215.WT_25	4535.257142857143	561.9142857142857	c3
65218.WT_25	4549.866666666667	784.7555555555556	c2
65219.WT_25	4558.408333333334	881.0333333333333	c5
65220.WT_25	4564.847826086957	1031.6521739130435	c2
65221.WT_25	4577.622222222222	1197.1703703703704	c9
